NODCCODE,Scientificname,Commonname
8768010000,Ipnopidae spp.,.
8768010100,Bathytyphlops spp.,.
8768010101,Bathytyphlops marionae,Marion's Spiderfish
8774010000,Characidae spp.,.
8774011200,Aphyocharax spp.,Tetras
8774011201,Aphyocharax anasitsi,Bloodfin Tetra
8774110000,Anostomidae spp.,.
8776010000,Cyprinidae spp.,Carps and Minnows
8776010100,Cyprinus spp.,Carps
8776010101,Cyprinus carpio,Common Carp
8776010300,Carassius spp.,.
8776010301,Carassius auratus,Goldfish
8776010500,Hybognathus spp.,.
8776010506,Hybognathus hayi,Cypress Minnow
8776010600,Notemigonus spp.,.
8776010601,Notemigonus crysoleucas,Golden Shiner
8776010800,Semotilus spp.,.
8776010802,Semotilus thoreauianus,Creek Chub
8776011000,Nocomis spp.,.
8776011002,Nocomis leptocephalus,Bluehead Chub
8776011100,Notropis spp.,Notropis Shiners
8776011104,Notropis chalybaeus,Ironcolor Shiner
8776011124,Notropis texanus,Weed Shiner
8776011137,Notropis baileyi,Rough Shiner
8776011157,Notropis cummingsae,Dusky Shiner
8776011166,Notropis harperi,Redeye Chub
8776011176,Notropis longirostris,Longnose Shiner
8776011178,Notropis maculatus,Taillight Shiner
8776011185,Notropis petersoni,Coastal Shiner
8776011200,Hybopsis spp.,.
8776011220,Hybopsis winchelli,Clear Chub
8776011600,Pimephales spp.,.
8776011602,Pimephales promelas,Fathead Minnow
8776012300,Ctenopharyngodon spp.,.
8776012301,Ctenopharyngodon idella,Grass Carp
8776015016,Notropis melanostomus,Blackmouth Shiner
8776015099,Notropis amplamala,Longjaw Minnow
8776017600,Cyprinella spp.,Shiners
8776017605,Cyprinella callitaenia,Bluestripe Shiner
8776017612,Cyprinella leedsi,Bannerfin Shiner
8776017621,Cyprinella venusta,Blacktail Shiner
8776017800,Luxilus spp.,.
8776017804,Luxilus chrysocephalus,Striped Shiner
8776017809,Luxilus zonistius,Bandfin Shiner
8776017900,Lythrurus spp.,.
8776017902,Lythrurus atrapiculus,Blacktip Shiner
8776018000,Macrhybopsis spp.,Florida Chub
8776018200,Opsopoeodus spp.,.
8776018201,Opsopoeodus emiliae,Pugnose Minnow
8776018900,Pteronotropis spp.,.
8776018903,Pteronotropis hypselopterus,Sailfin Shiner
8776018904,Pteronotropis signipinnis,Flagfin Shiner
8776018905,Pteronotropis welaka,Bluenose Shiner
8776018906,Pteronotropis grandipinnis,Apalachee Shiner
8776018999,Pteronotropis metallicus,Metallic Shiner
8776040000,Catostomidae spp.,.
8776040200,Carpiodes spp.,.
8776040201,Carpiodes cyprinus,Quillback
8776040203,Carpiodes velifer,Highfin Carpsucker
8776040300,Erimyzon spp.,.
8776040301,Erimyzon sucetta,Lake Chubsucker
8776040303,Erimyzon tenuis,Sharpfin Chubsucker
8776040399,Erimyzon claviformis,Western Creek Chubsucker
8776040400,Moxostoma spp.,.
8776040403,Moxostoma poecilurum,Blacktail Redhorse
8776040407,Moxostoma carinatum,River Redhorse
8776040800,Minytrema spp.,Suckers
8776040801,Minytrema melanops,Spotted Sucker
8776060100,Misgurnus spp.,.
8776060101,Misgurnus anguillicaudatus,Oriental Weatherfish
8777000000,Siluriformes spp.,Catfish
8777020000,Ictaluridae spp.,Bullhead Catfishes
8777020100,Ictalurus spp.,.
8777020102,Ictalurus furcatus,Blue Catfish
8777020105,Ictalurus punctatus,Channel Catfish
8777020200,Noturus spp.,.
8777020201,Noturus gyrinus,Tadpole Madtom
8777020212,Noturus funebris,Black Madtom
8777020217,Noturus leptacanthus,Speckled Madtom
8777020300,Pylodictis spp.,.
8777020301,Pylodictis olivaris,Flathead Catfish
8777020600,Ameiurus spp.,Bullheads
8777020601,Ameiurus brunneus,Snail Bullhead
8777020602,Ameiurus catus,White Catfish
8777020604,Ameiurus natalis,Yellow Bullhead
8777020605,Ameiurus nebulosus,Brown Bullhead
8777020607,Ameiurus serracanthus,Spotted Bullhead
8777120000,Clariidae spp.,.
8777120100,Clarias spp.,.
8777120101,Clarias batrachus,Walking Catfish
8777180000,Ariidae spp.,.
8777180100,Bagre spp.,.
8777180101,Bagre marinus,Gafftopsail Catfish
8777180200,Ariopsis spp.,.
8777180202,Ariopsis felis,Hardhead Catfish
8777290000,Callichthyidae spp.,.
8777300000,Loricariidae spp.,Suckermouth Catfish
8777300100,Hypostomus spp.,.
8777300101,Hypostomus plecostomus,Suckermouth Catfish
8777300300,Hoplosternum spp.,.
8777300301,Hoplosternum littorale,Brown Hoplo
8777301000,Pterygoplichthys spp.,Armoured Catfishes
8777301002,Pterygoplichthys multiradiatus,Armoured Catfish
8777301003,Pterygoplichthys pardalis,Amazon sailfin catfish
8777302001,Pterygoplichthys disjunctivus,Vermiculated Catfish
8781010000,Aphredoderidae spp.,.
8781010100,Aphredoderus spp.,.
8781010101,Aphredoderus sayanus,Pirate Perch
8783010000,Batrachoididae spp.,Toadfishes
8783010100,Porichthys spp.,.
8783010108,Porichthys plectrodon,Atlantic Midshipman
8783010200,Opsanus spp.,.
8783010201,Opsanus tau,Oyster Toadfish
8783010202,Opsanus beta,Gulf Toadfish
8.78301E+11,Opsanus beta (red morph),Gulf Toadfish (red morph)
8.78301E+11,Opsanus beta (yellow morph),Gulf Toadfish (yellow morph)
8783010203,Opsanus pardus,Leopard Toadfish
8784010000,Gobiesocidae spp.,.
8784010100,Gobiesox spp.,.
8784010102,Gobiesox strumosus,Skilletfish
8784010105,Gobiesox punctulatus,Stippled Clingfish
8784010400,Acyrtops spp.,.
8784010401,Acyrtops beryllinus,Emerald Clingfish
8786010000,Lophiidae spp.,Goosefishes
8786010100,Lophius spp.,.
8786010101,Lophius americanus,Goosefish
8786010200,Lophiodes spp.,.
8786010202,Lophiodes reticulatus,Reticulate Goosefish
8787020000,Antennariidae spp.,.
8787020100,Histrio spp.,.
8787020101,Histrio histrio,Sargassumfish
8787020200,Antennarius spp.,.
8787020201,Antennarius multiocellatus,Longlure Frogfish
8787020202,Fowlerichthys ocellatus,Ocellated Frogfish
8787020203,Fowlerichthys radiosus,Singlespot Frogfish
8787020208,Antennarius pauciradiatus,Dwarf Frogfish
8787020234,Antennarius striatus,Splitlure Frogfish
8787030000,Chaunacidae spp.,Sea Toads
8787030100,Chaunax spp.,Gapers
8787030102,Chaunax stigmaeus,Redeye Gaper
8787040000,Ogcocephalidae spp.,.
8787040100,Ogcocephalus spp.,Batfishes
8787040103,Ogcocephalus nasutus,Shortnose Batfish
8787040105,Ogcocephalus parvus,Roughback Batfish
8787040106,Ogcocephalus pantostictus,Spotted Batfish
8787040108,Ogcocephalus declivirostris,Slantbrow Batfish
8787040109,Ogcocephalus corniger,Longnose Batfish
8787040110,Ogcocephalus rostellum,Palefin Batfish
8787040113,Ogcocephalus cubifrons,Polka-dot Batfish
8787040300,Halieutichthys spp.,.
8787040301,Halieutichthys aculeatus,Pancake Batfish
8787040398,Halieutichthys intermedius,Gulf Batfish
8787040399,Halieutichthys bispinosus,Spiny Batfish
8787040400,Zalieutes spp.,.
8787040401,Zalieutes mcgintyi,Tricorn Batfish
8787040500,Malthopsis spp.,.
8788030000,Himantolophidae spp.,.
8788030200,Himantolophus spp.,.
8788030201,Himantolophus groenlandicus,Atlantic Footballfish
8788070000,Centrophrynidae spp.,.
8791010000,Moridae spp.,Morid Cods
8791010200,Laemonema spp.,.
8791010201,Laemonema barbatulum,Shortbeard Codling
8791010300,Physiculus spp.,.
8791010308,Physiculus fulvus,Metallic Codling
8791020000,Bregmacerotidae spp.,bregmacerotid codfishes
8791020100,Bregmaceros spp.,.
8791020101,Bregmaceros atlanticus,Antenna Codlet
8791020105,Bregmaceros houdei,Stellate Codlet
8791031000,Urophycis spp.,.
8791031002,Urophycis regia,Spotted Hake
8791031004,Phycis chesteri,Longfin Hake
8791031005,Urophycis cirrata,Gulf Hake
8791031006,Urophycis earllii,Carolina Hake
8791031007,Urophycis floridana,Southern Hake
8791031099,Urophycis n. sp. (c.f. earlii),Undescribed Hake
8791031500,Enchelyopus spp.,.
8791031501,Enchelyopus cimbrius,Fourbeard Rockling
8791040000,Merlucciidae spp.,Merluccid Hakes
8791040100,Merluccius spp.,.
8791040101,Merluccius bilinearis,Silver Hake
8791040200,Steindachneria spp.,.
8791040201,Steindachneria argentea,Luminous Hake
8791050000,Phycidae spp.,Phycid hakes
8792010000,Ophidiidae spp.,.
8792010400,Brotula spp.,.
8792010401,Brotula barbata,Bearded Brotula
8792010500,Lepophidium spp.,.
8792010502,Lepophidium brevibarbe,Blackedge Cusk-eel
8792010505,Lepophidium jeannae,Mottled Cusk-eel
8792010509,Lepophidium profundorum,Fawn Cusk-eel
8792010510,Lepophidium staurophor,Barred Cusk-eel
8792010600,Ophidion spp.,.
8792010601,Ophidion antipholus,Long Nosed Cusk Eel
8792010602,Ophidion grayi,Blotched Cusk-eel
8792010603,Ophidion holbrookii,Bank Cusk-eel
8792010604,Ophidion selenops,Mooneye Cusk-eel
8792010605,Ophidion josephi,Crested Cusk-eel
8792010613,Ophidion marginatum,Striped Cusk-eel
8792010619,Ophidion dromio,Shorthead Cusk-eel
8792010700,Otophidium spp.,.
8792010701,Otophidium omostigma,Polka-dot Cusk-eel
8792010703,Otophidium dormitator,Sleeper Cusk-eel
8792011700,Luciobrotula spp.,.
8792011701,Luciobrotula corethromycter,.
8792012300,Gunterichthys spp.,.
8792012301,Gunterichthys longipenis,Gold Brotula
8792012400,Ogilbia spp.,.
8792012401,Ogilbia cayorum,Key Brotula
8792012498,Ogilbia sabaji,Curator Brotula
8792012499,Ogilbia suarezae,Shy Brotula
8792012600,Parophidion spp.,.
8792012601,Parophidion schmidti,Dusky Cusk-eel
8792012700,Petrotyx spp.,.
8792012701,Petrotyx sanguineus,Redfin Brotula
8792012800,Stygnobrotula spp.,.
8792012801,Stygnobrotula latebricola,Black Brotula
8792020000,Carapidae spp.,.
8792020100,Carapus spp.,.
8792020101,Carapus bermudensis,Pearlfish
8792020200,Echiodon spp.,.
8792020204,Echiodon dawsoni,Chain Pearlfish
8792040000,Bythitidae spp.,.
8792042500,Grammonus spp.,.
8792042501,Grammonus claudei,Reef-cave Brotula
8794010000,Macrouridae spp.,.
8794010400,Coelorinchus spp.,.
8794010401,Coelorinchus caribbaeus,Blackfin Grenadier
8794010405,Coelorinchus caelorhincus,Saddled Grenadier
8794010600,Malacocephalus spp.,.
8794010601,Malacocephalus laevis,Softhead Grenadier
8794010602,Malacocephalus occidentalis,Western Softhead Grenadier
8794010800,Nezumia spp.,.
8794010802,Nezumia bairdii,Marlin-spike
8802000000,Atheriniformes spp.,Silversides
8803010000,Exocoetidae spp.,.
8803010100,Cypselurus spp.,.
8803010102,Cypselurus comatus,Clearwing Flyingfish
8803010103,Cheilopogon cyanopterus,Margined Flyingfish
8803010104,Cheilopogon exsiliens,Bandwing Flyingfish
8803010105,Cheilopogon furcatus,Spotfin Flyingfish
8803010114,Cheilopogon melanurus,Atlantic Flyingfish
8803010200,Hemiramphus spp.,.
8803010201,Hemiramphus brasiliensis,Ballyhoo
8803010202,Hemiramphus balao,Balao
8803010300,Hyporhamphus spp.,Halfbeaks
8803010301,Hyporhamphus unifasciatus,Halfbeak
8803010399,Hyporhamphus meeki,False Silver Halfbeak
8803010400,Chriodorus spp.,.
8803010401,Chriodorus atherinoides,Hardhead Halfbeak
8803010600,Euleptorhamphus spp.,.
8803010601,Euleptorhamphus velox,Flying Halfbeak
8803010700,Exocoetus spp.,.
8803010701,Exocoetus obtusirostris,Oceanic Two-wing Flyingfish
8803010702,Exocoetus volitans,Tropical Two-wing Flyingfish
8803010900,Hirundichthys spp.,.
8803010901,Hirundichthys affinis,Fourwing Flyingfish
8803010903,Hirundichthys rondeletii,Blackwing Flyingfish
8803011000,Oxyporhamphus spp.,.
8803011001,Oxyporhamphus micropterus,Smallwing Flyingfish
8803011100,Parexocoetus spp.,.
8803011101,Parexocoetus brachypterus,Sailfin Flyingfish
8803011200,Prognichthys spp.,.
8803011201,Prognichthys occidentalis,Bluntnose Flyingfish
8803020000,Belonidae spp.,.
8803020100,Ablennes spp.,.
8803020101,Ablennes hians,Flat Needlefish
8803020200,Strongylura spp.,Needlefishes
8803020201,Strongylura marina,Atlantic Needlefish
8803020202,Strongylura notata,Redfin Needlefish
8803020203,Strongylura timucu,Timucu
8803020300,Tylosurus spp.,.
8803020301,Tylosurus acus,Agujon
8803020302,Tylosurus crocodilus,Houndfish
8803020400,Platybelone spp.,.
8803020401,Platybelone argalus,Keeltail Needlefish
8803040000,Hemiramphidae spp.,halfbeaks
8804040000,Cyprinodontidae spp.,Pupfishes
8804040100,Cyprinodon spp.,Killifishes
8804040101,Cyprinodon variegatus,Sheepshead Minnow
8804040200,Fundulus spp.,Assorted Killifish
8804040201,Fundulus confluentus,Marsh Killifish
8804040203,Fundulus heteroclitus,Mummichog
8804040205,Fundulus majalis,Striped Killifish
8804040207,Fundulus grandis,Gulf Killifish
8804040208,Fundulus chrysotus,Golden Topminnow
8804040209,Fundulus jenkinsi,Saltmarsh Topminnow
8804040211,Fundulus olivaceus,Blackspotted Topminnow
8804040212,Fundulus pulvereus,Bayou Killifish
8804040213,Fundulus similis,Longnose Killifish
8804040217,Fundulus cingulatus,Banded Topminnow
8804040218,Fundulus lineolatus,Uined Topminnow
8804040220,Fundulus nottii,Bayou Topminnow
8804040223,Fundulus seminolis,Seminole Killifish
8804040229,Fundulus escambiae,Russetfin Topminnow
8804040233,Fundulus blairae,Western Starhead Topminnow
8804040234,Fundulus rubrifrons,Redface Topminnow
8804040299,Fundulus nottii/escambiae,Fundulus complex
8804040300,Lucania spp.,.
8804040301,Lucania parva,Rainwater Killifish
8804040302,Lucania goodei,Bluefin Killifish
8804040400,Adinia spp.,.
8804040401,Adinia xenica,Diamond Killifish
8804040500,Floridichthys spp.,.
8804040501,Floridichthys carpio,Goldspotted Killifish
8804040800,Jordanella spp.,.
8804040801,Jordanella floridae,Flagfish
8804040900,Leptolucania spp.,.
8804040901,Leptolucania ommata,Pygmy Killifish
8804041000,Rivulus spp.,.
8804041001,Kryptolebias marmoratus,Mangrove Rivulus
8804080000,Poeciliidae spp.,.
8804080100,Gambusia spp.,.
8804080101,Gambusia affinis,Western Mosquitofish
8804080102,Gambusia rhizophorae,Mangrove Gambusia
8804080116,Gambusia holbrooki,Eastern Mosquito Fish
8804080200,Poecilia spp.,Mollies
8804080201,Poecilia latipinna,Sailfin Molly
8804080205,Poecilia reticulata,Guppy
8804080206,Poecilia sphenops,Mexican Molly
8804080300,Belonesox spp.,.
8804080301,Belonesox belizanus,Pike Killifish
8804080400,Heterandria spp.,.
8804080401,Heterandria formosa,Least Killifish
8804080600,Xiphophorus spp.,.
8804080601,Xiphophorus hellerii,Green Swordtail
8804080602,Xiphophorus maculatus,Southern Platyfish
8804080603,Xiphophorus variatus,Variable Platyfish
8805020000,Atherinidae spp.,Old World Silversides
8805020200,Membras spp.,.
8805020201,Membras martinica,Rough Silverside
8805020300,Menidia spp.,Menidia Silversides
8805020301,Menidia beryllina,Inland Silverside
8805020302,Menidia menidia,Atlantic Silverside
8805020303,Menidia conchorum,Key Silverside
8805020304,Menidia peninsulae,Tidewater Silverside
8805020500,Atherinomorus spp.,.
8805020501,Atherinomorus stipes,Hardhead Silverside
8805020800,Labidesthes spp.,.
8805020801,Labidesthes sicculus,Brook Silverside
8805021200,Hypoatherina spp.,.
8805021201,Hypoatherina harringtonensis,Reef Silverside
8805030000,Atherinopsidae spp.,New World Silversides
8809010000,Polymixiidae spp.,.
8809010100,Polymixia spp.,.
8809010101,Polymixia lowei,Beardfish
8809010102,Polymixia nobilis,Stout Beardfish
8810050000,Gephyroberyx darwinii,Big Roughy
8810080000,Holocentridae spp.,.
8810080100,Holocentrus spp.,.
8810080101,Holocentrus adscensionis,Squirrelfish
8810080103,Holocentrus rufus,Longspine Squirrelfish
8810080105,Neoniphon marianus,Longjaw Squirrelfish
8810080110,Sargocentron bullisi,Deepwater Squirrelfish
8810080111,Sargocentron coruscum,Reef Squirrelfish
8810080112,Sargocentron poco,Saddle Squirrelfish
8810080113,Sargocentron vexillarium,Dusky Squirrelfish
8810080200,Myripristis spp.,.
8810080201,Myripristis jacobus,Blackbar Soldierfish
8810080300,Ostichthys spp.,.
8810080301,Ostichthys trachypoma,Bigeye Soldierfish
8810080400,Plectrypops spp.,.
8810080401,Plectrypops retrospinis,Cardinal Soldierfish
8810080600,Corniger spp.,.
8810080601,Corniger spinosus,Spinycheek Soldierfish
8810080900,Sargocentron spp.,Squirrelfishes
8810081000,Neoniphon spp.,Squirrelfishes
8811020000,Zenionidae spp.,.
8811020100,Zenion spp.,.
8811020101,Zenion hololepis,.
8811030200,Zenopsis spp.,.
8811030202,Zenopsis conchifera,Buckler Dory
8811040000,Grammicolepidae spp.,.
8811040100,Grammicolepis spp.,.
8811040101,Grammicolepis brachiusculus,Thorny Tinselfish
8811040200,Xenolepidichthys spp.,.
8811040202,Xenolepidichthys dalgleishi,Spotted Tinselfish
8811060100,Antigonia spp.,.
8811060101,Antigonia capros,Deepbody Boarfish
8811060102,Antigonia combatia,Shortspine Boarfish
8813010000,Lampridae spp.,Opahs
8813010100,Lampris spp.,.
8813010102,Lampris guttatus,Opah
8815010000,Lophotidae spp.,Crestfishes
8815010200,Eumecichthys spp.,.
8815010201,Eumecichthys fiski,Unicornfish
8815020000,Trachipteridae spp.,.
8815020100,Trachipterus spp.,.
8815020102,Trachipterus arcticus,Dealfish
8815020200,Desmodema spp.,.
8815020201,Desmodema polystictum,Polka-dot Ribbonfish
8815020300,Zu spp.,.
8815020301,Zu cristatus,Scalloped Ribbonfish
8815030000,Regalecidae spp.,Oarfishes
8815030100,Regalecus spp.,.
8815030101,Regalecus glesne,Oarfish
8815040100,Lophotus spp.,.
8815040101,Lophotus lacepede,Crestfish
8816010000,Stylephoridae spp.,.
8816010100,Stylephorus spp.,.
8816010101,Stylephorus chordatus,Tube-eye
8819010000,Aulostomidae spp.,.
8819010100,Aulostomus spp.,.
8819010101,Aulostomus maculatus,Trumpetfish
8819020000,Fistulariidae spp.,Cornetfishes
8819020100,Fistularia spp.,.
8819020101,Fistularia tabacaria,Bluespotted Cornetfish
8819020102,Fistularia petimba,Red Cornetfish
8819030100,Macroramphosus spp.,.
8819030101,Macroramphosus scolopax,Longspine Snipefish
8819030102,Macroramphosus gracilis,Slender Snipefish
8819040000,Centriscidae spp.,.
8820020000,Syngnathidae spp.,.
8820020100,Syngnathus spp.,Pipefishes
8820020102,Syngnathus floridae,Dusky Pipefish
8820020103,Syngnathus fuscus,Northern Pipefish
8820020104,Syngnathus louisianae,Chain Pipefish
8820020108,Syngnathus pelagicus,Sargassum Pipefish
8820020109,Syngnathus springeri,Bull Pipefish
8820020113,Syngnathus scovelli,Gulf Pipefish
8820020200,Hippocampus spp.,.
8820020201,Hippocampus erectus,Lined Seahorse
8820020204,Hippocampus reidi,Longsnout Seahorse
8820020205,Hippocampus zosterae,Dwarf Seahorse
8820020500,Halicampus spp.,.
8820020501,Halicampus crinitus,Banded Pipefish
8820020600,Microphis spp.,.
8820020601,Microphis brachyurus,Opposum Pipefish
8820022300,Cosmocampus spp.,.
8820022301,Cosmocampus albirostris,Whitenose Pipefish
8820022302,Cosmocampus profundus,Deepwater Pipefish
8820022303,Cosmocampus brachycephalus,Crested Pipefish
8820022305,Cosmocampus elucens,Shortfin Pipefish
8820022306,Cosmocampus hildebrandi,Dwarf Pipefish
8820022500,Acentronura spp.,.
8820022502,Acentronura dendritica,Pipehorse
8820023900,Anarchopterus spp.,.
8820023901,Anarchopterus criniger,Fringed Pipefish
8820023902,Anarchopterus tectus,Insular Pipefish
8820024000,Bryx spp.,.
8820024001,Bryx dunckeri,Pugnose Pipefish
8821010100,Channa spp.,.
8821010102,Channa marulius,Bullseye Snakeead
8824010000,Synbranchidae spp.,Swamp Eels
8824010200,Monopterus spp.,.
8824010201,Monopterus albus,Asian Swamp Eel
8826010000,Scorpaenidae spp.,.
8826010300,Helicolenus spp.,.
8826010301,Helicolenus dactylopterus,Blackbelly Rosefish
8826010400,Neomerinthe spp.,.
8826010402,Neomerinthe hemingwayi,Spinycheek Scorpionfish
8826010500,Pontinus spp.,.
8826010501,Pontinus castor,Longsnout Scorpionfish
8826010503,Pontinus longispinis,Longspine Scorpionfish
8826010505,Pontinus rathbuni,Highfin Scorpionfish
8826010506,Pontinus nematophthalmus,Spinythroat Scorpion
8826010600,Scorpaena spp.,.
8826010601,Scorpaena agassizii,Longfin Scorpionfish
8826010602,Scorpaena albifimbria,Coral Scorpionfish
8826010603,Scorpaena bergii,Goosehead Scorpionfish
8826010604,Scorpaena brachyptera,Shortfin Scorpionfish
8826010605,Scorpaena brasiliensis,Barbfish
8826010606,Scorpaena calcarata,Smoothhead Scorpionfish
8826010607,Scorpaena dispar,Hunchback Scorpionfish
8826010608,Scorpaena elachys,Dwarf Scorpionfish
8826010609,Scorpaena grandicornis,Plumed Scorpionfish
8826010610,Scorpaena inermis,Mushroom Scorpionfisf
8826010611,Scorpaena isthmensis,Smoothcheek Scorpionfish
8826010614,Scorpaena plumieri,Spotted Scorpionfish
8826011100,Trachyscorpia spp.,.
8826011101,Trachyscorpia cristulata,Atlantic Thornyhead
8826011200,Scorpaenodes spp.,.
8826011201,Scorpaenodes caribbaeus,Reef Scorpionfish
8826011202,Scorpaenodes tredecimspinosus,Deepreef Scorpionfish
8826011400,Pterois spp.,Lionfishes
8826011401,Pterois volitans,Red Lionfish
8826012302,Pterois miles,Devil Firefish
8826020000,Triglidae spp.,Searobins and Gurnards
8826020100,Prionotus spp.,Searobins
8826020101,Prionotus carolinus,Northern Searobin
8826020102,Prionotus evolans,Striped Searobin
8826020103,Prionotus scitulus,Leopard Searobin
8826020104,Prionotus tribulus,Bighead Searobin
8826020105,Prionotus alatus,Spiny Searobin
8826020111,Prionotus martis,Barred Searobin
8826020113,Prionotus ophryas,Bandtail Searobin
8826020117,Prionotus roseus,Bluespotted Searobin
8826020118,Prionotus rubio,Blackwing searobin
8826020121,Prionotus stearnsi,Shortwing Searobin
8826020123,Prionotus longispinosus,Bigeye Searobin
8826020200,Bellator spp.,Searobin
8826020201,Bellator brachychir,Shortfin Searobin
8826020202,Bellator egretta,Streamer Searobin
8826020203,Bellator militaris,Horned Searobin
8826020300,Peristedion spp.,Armored Searobins
8826020303,Peristedion gracile,Slender Searobin
8826020304,Peristedion greyae,Alligator Searobin
8826020307,Peristedion miniatum,Armored Searobin
8826020311,Peristedion thompsoni,Rimspine Searob
8826020313,Peristedion brevirostre,Flathead Searobin
8826070000,Hemitripteridae spp.,Sailfin Sculpins
8831021500,Hemitripterus spp.,.
8831021503,Hemitripterus americanus,Sea Raven
8832010000,Dactylopteridae spp.,.
8832010100,Dactylopterus spp.,.
8832010101,Dactylopterus volitans,Flying Gurnard
8835010000,Centropomidae spp.,.
8835010100,Centropomus spp.,.
8835010102,Centropomus ensiferus,Swordspine Snook
8835010103,Centropomus parallelus,Fat Snook
8835010104,Centropomus pectinatus,Tarpon Snook
8835010105,Centropomus undecimalis,Common Snook
8835010199,Centropomus mexicanus,Largescale Fat Snook
8835020000,Serranidae spp.,Sea Basses
8835020300,Centropristis spp.,.
8835020301,Centropristis striata,Black Sea Bass
8835020302,Centropristis fuscula,Twospot Sea Bass
8835020304,Centropristis ocyurus,Bank Sea Bass
8835020305,Centropristis philadelphica,Rock Sea Bass
8835020400,Epinephelus spp.,.
8835020401,Epinephelus itajara,Goliath Grouper
8835020402,Epinephelus adscensionis,Rock Hind
8835020404,Epinephelus drummondhayi,Speckled Hind
8835020405,Hyporthodus flavolimbatus,Yellowedge Grouper
8835020406,Epinephelus guttatus,Red Hind
8835020408,Epinephelus morio,Red Grouper
8835020409,Hyporthodus mystacinus,Misty Grouper
8835020410,Hyporthodus nigritus,Warsaw Grouper
8835020411,Hyporthodus niveatus,Snowy Grouper
8835020412,Epinephelus striatus,Nassau Grouper
8835020438,Cephalopholis fulva,Coney
8835020440,Dermatolepis inermis,Marbled Grouper
8835020441,Alphestes afer,Mutton Hamlet
8835020500,Mycteroperca spp.,.
8835020501,Mycteroperca microlepis,Gag
8835020502,Mycteroperca bonaci,Black Grouper
8835020504,Mycteroperca interstitialis,Yellowmouth Grouper
8835020505,Mycteroperca phenax,Scamp
8835020506,Mycteroperca venenosa,Yellowfin Grouper
8835020509,Mycteroperca tigris,Tiger Grouper
